Autofocus,Aspherical Elements,Diaphragm Blades,ED Glass Elements,Filter Size,Format,Lens Elements,Lens Groups,Maximum Aperture,Maximum Reproduction Ratio,Minimum Focus Distance,Price,VR,Url,Zoom Ratio,Diameter (In.),Length (In.),Weight (oz.),Min. Focal Length (mm),Max. Focal Length (mm),Focal Length Diff,Max. Aperture (Upper Bound),Max. Aperture (Lower Bound),Min. Aperture (Upper Bound),Min. Aperture (Lower Bound),Max. Aperture Diff,Focal Length Label,Maximum Aperture Label,name,Lens Type,Focal Length Group,Weight (lbs.),Price Range
Yes,,9,2,67,FX,17,12,4.5-5.6,0.25x,"4.9,1.5",499.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-vr-zoom-nikkor-70-300mm-f%252f4.5-5.6g-if-ed.html,4.3,3.1,5.6,26.3,70,300,230,4.5,5.6,32.0,32.0,-1.0999999999999996,70 - 300mm,f/4.5 - 5.6,70 - 300mm f/4.5 - 5.6,Zoom,Super Telephoto,1.64375,< $500
Yes,,9,1,67,FX,18,14,4.5-5.6,0.25x,"3.94,1.2",549.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-p-nikkor-70-300mm-f%252f4.5-5.6e-ed-vr.html,4.3,3.2,5.7,24.0,70,300,230,4.5,5.6,32.0,40.0,-1.0999999999999996,70 - 300mm,f/4.5 - 5.6,70 - 300mm f/4.5 - 5.6,Zoom,Super Telephoto,1.5,$500 - $1k
Yes,,9,6,77,FX,22,18,2.8,0.21x,"3.6,1.1",1999.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-70-200mm-f%252f2.8e-fl-ed-vr.html,2.9,3.4,7.9,50.5,70,200,130,2.8,2.8,22.0,22.0,0.0,70 - 200mm,f/2.8,70 - 200mm f/2.8,Zoom,Medium Telephoto,3.15625,$1 - 2k
Yes,,9,7,77,FX,21,16,2.8,0.12x,"4.6,1.4",2099.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-70-200mm-f%252f2.8g-ed-vr-ii.html,2.9,3.4,8.1,54.3,70,200,130,2.8,2.8,22.0,22.0,0.0,70 - 200mm,f/2.8,70 - 200mm f/2.8,Zoom,Medium Telephoto,3.39375,$2 - 5k
Yes,,9,3,67,FX,20,14,4,0.274x,3.28,1399.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-70-200mm-f%252f4g-ed-vr.html,2.9,3.1,7.0,30.0,70,200,130,4.0,4.0,32.0,32.0,0.0,70 - 200mm,f/4.0,70 - 200mm f/4.0,Zoom,Medium Telephoto,1.875,$1 - 2k
Yes,,9,3,77,FX,17,11,4.5-5.6,0.42x,"7.5,2.3",1849.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-vr-zoom-nikkor-80-400mm-f%252f4.5-5.6d-ed.html,5.0,3.6,6.7,47.0,80,400,320,4.5,5.6,32.0,32.0,-1.0999999999999996,80 - 400mm,f/4.5 - 5.6,80 - 400mm f/4.5 - 5.6,Zoom,Super Telephoto,2.9375,$1 - 2k
Yes,,9,4,77,FX,20,12,4.5-5.6,0.2x,"5.74,1.75",2099.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-80-400mm-f%252f4.5-5.6-g-ed-vr.html,5,3.8,8.0,56.0,80,400,320,4.5,5.6,32.0,40.0,-1.0999999999999996,80 - 400mm,f/4.5 - 5.6,80 - 400mm f/4.5 - 5.6,Zoom,Super Telephoto,3.5,$2 - 5k
Yes,,9,3,77,FX,16,11,2.8,0.24x,"4.9,1.5",1224.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-zoom-nikkor-80-200mm-f%252f2.8d-ed.html,2.5,3.4,7.4,45.9,80,200,120,2.8,2.8,22.0,22.0,0.0,80 - 200mm,f/2.8,80 - 200mm f/2.8,Zoom,Medium Telephoto,2.86875,$1 - 2k
Yes,,9,,77,FX,10,9,1.4,0.12x,3.0 ft. (0.85m),1449.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-85mm-f%252f1.4g.html,,3.4,3.3,21.0,85,85,0,1.4,1.4,16.0,16.0,0.0,85mm,f/1.4,85mm f/1.4,Prime,Short Telephoto,1.3125,$1 - 2k
Yes,,7,,67,FX,9,9,1.8,0.12x,,429.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-85mm-f%252f1.8g.html,,3.1,2.9,12.4,85,85,0,1.8,1.8,16.0,16.0,0.0,85mm,f/1.8,85mm f/1.8,Prime,Short Telephoto,0.775,< $500
No,,9,,77,FX,6,5,2.8,0.50x,"1.3,0.39",1979.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/pc-e-micro-nikkor-85mm-f%252f2.8d.html,,3.3,4.2,22.9,85,85,0,2.8,2.8,32.0,32.0,0.0,85mm,f/2.8,85mm f/2.8,Prime,Short Telephoto,1.43125,$1 - 2k
Yes,,9,1,52,DX,14,10,3.5,1.0x,"0.9,0.286",559.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-micro-nikkor-85mm-f3.5g-ed-vr.html,,2.9,3.9,12.5,85,85,0,3.5,3.5,32.0,32.0,0.0,85mm,f/3.5,85mm f/3.5,Prime,Short Telephoto,0.78125,$500 - $1k
