Autofocus,Aspherical Elements,Diaphragm Blades,ED Glass Elements,Filter Size,Format,Lens Elements,Lens Groups,Maximum Aperture,Maximum Reproduction Ratio,Minimum Focus Distance,Price,VR,Url,Zoom Ratio,Diameter (In.),Length (In.),Weight (oz.),Min. Focal Length (mm),Max. Focal Length (mm),Focal Length Diff,Max. Aperture (Upper Bound),Max. Aperture (Lower Bound),Min. Aperture (Upper Bound),Min. Aperture (Lower Bound),Max. Aperture Diff,Focal Length Label,Maximum Aperture Label,name,Lens Type,Focal Length Group,Weight (lbs.),Price Range
Yes,,7,,,FX,8,5,2.8,0.10x,"0.85,0.25",999.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-fisheye-nikkor-16mm-f%252f2.8d.html,,2.5,2.2,10.12,16,16,0,2.8,2.8,22.0,22.0,0.0,16mm,f/2.8,16mm f/2.8,Prime,Ultra Wide Angle,0.6325,$500 - $1k
Yes,3,9,3,77,DX,14,10,2.8,0.20x,"1.2,0.36",1499.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-zoom-nikkor-17-55mm-f%252f2.8g-if-ed.html,3.2,3.4,4.4,26.6,17,55,38,2.8,2.8,22.0,22.0,0.0,17 - 55mm,f/2.8,17 - 55mm f/2.8,Zoom,Standard,1.6625,$1 - 2k
Yes,3,9,2,77,FX,13,10,2.8,0.22x,"0.9,0.28",1954.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-zoom-nikkor-17-35mm-f%252f2.8d-if-ed.html,2.1,3.2,4.2,26.3,17,35,18,2.8,2.8,22.0,22.0,0.0,17 - 35mm,f/2.8,17 - 35mm f/2.8,Zoom,Standard,1.64375,$1 - 2k
Yes,3,7,3,67,DX,16,12,3.5-6.3,0.32x,"1.6,0.48",699.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-18-300mm-f%252f3.5-6.3g-ed-vr.html,16.7,3.0,3.8,19.4,18,300,282,3.5,6.3,22.0,22.0,-2.8,18 - 300mm,f/3.5 - 6.3,18 - 300mm f/3.5 - 6.3,Zoom,Super Telephoto,1.2125,$500 - $1k
Yes,3,9,3,77,DX,19,14,3.5-5.6,0.32x,"1.48,0.45",999.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-18-300mm-f%252f3.5-5.6g-ed-vr.html,16.7,3.3,4.7,29.3,18,300,282,3.5,5.6,22.0,32.0,-2.0999999999999996,18 - 300mm,f/3.5 - 5.6,18 - 300mm f/3.5 - 5.6,Zoom,Super Telephoto,1.83125,$500 - $1k
Yes,3,7,2,72,DX,16,12,3.5-5.6,0.22x,1.6,589.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-18-200mm-f%252f3.5-5.6g-ed-vr-ii.html,11.1,3.0,3.8,19.8,18,200,182,3.5,5.6,22.0,22.0,-2.0999999999999996,18 - 200mm,f/3.5 - 5.6,18 - 200mm f/3.5 - 5.6,Zoom,Medium Telephoto,1.2375,$500 - $1k
Yes,1,7,1,67,DX,17,12,3.5-5.6,0.23x,"1.48,0.45",499.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-18-140mm-f%252f3.5-5.6g-ed-vr.html,7.8,3.0,3.8,17.3,18,140,122,3.5,5.6,22.0,38.0,-2.0999999999999996,18 - 140mm,f/3.5 - 5.6,18 - 140mm f/3.5 - 5.6,Zoom,Medium Telephoto,1.08125,< $500
Yes,1,7,1,67,DX,15,11,3.5-5.6,0.20x,"1.48,0.45",399.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-18-105mm-f3.5-5.6g-ed-vr.html,5.8,3.0,3.5,14.8,18,105,87,3.5,5.6,22.0,22.0,-2.0999999999999996,18 - 105mm,f/3.5 - 5.6,18 - 105mm f/3.5 - 5.6,Zoom,Short Telephoto,0.925,< $500
Yes,1,7,1,52,DX,7,5,3.5-5.6,0.31x,"0.9,0.28",119.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-zoom-nikkor-18-55mm-f%252f3.5-5.6g-ed-ii.html,3.1,2.8,2.9,7.4,18,55,37,3.5,5.6,22.0,22.0,-2.0999999999999996,18 - 55mm,f/3.5 - 5.6,18 - 55mm f/3.5 - 5.6,Zoom,Standard,0.4625,< $500
Yes,2,7,,55,DX,12,9,3.5-5.6,0.38x,"0.9,0.25",199.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-p-dx-nikkor-18-55mm-f%252f3.5-5.6g.html,3.1,2.5,2.4,6.9,18,55,37,3.5,5.6,22.0,38.0,-2.0999999999999996,18 - 55mm,f/3.5 - 5.6,18 - 55mm f/3.5 - 5.6,Zoom,Standard,0.43125,< $500
Yes,1,7,,52,DX,11,8,3.5-5.6,0.31x,"0.9,0.28",199.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-zoom-nikkor-ed-18-55mm-f3.5-5.6g.html,3.1,2.9,3.1,9.3,18,55,37,3.5,5.6,22.0,22.0,-2.0999999999999996,18 - 55mm,f/3.5 - 5.6,18 - 55mm f/3.5 - 5.6,Zoom,Standard,0.58125,< $500
Yes,,7,,52,DX,11,8,3.5-5.6,0.31x,"0.92,0.28",249.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-18-55mm-f%252f3.5-5.6g-vr-ii.html,3,2.3,2.6,6.9,18,55,37,3.5,5.6,22.0,36.0,-2.0999999999999996,18 - 55mm,f/3.5 - 5.6,18 - 55mm f/3.5 - 5.6,Zoom,Standard,0.43125,< $500
Yes,2,7,,55,DX,12,9,3.5-5.6,0.38x,"0.9,0.25",249.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-p-dx-nikkor-18-55mm-f%252f3.5-5.6g-vr.html,3.1,2.5,2.4,7.3,18,55,37,3.5,5.6,22.0,38.0,-2.0999999999999996,18 - 55mm,f/3.5 - 5.6,18 - 55mm f/3.5 - 5.6,Zoom,Standard,0.45625,< $500
Yes,3,7,2,77,FX,12,8,3.5-4.5,0.2x,"0.92,0.28",749.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-18-35mm-f%252f3.5-4.5g-ed.html,1.9,3.3,3.7,13.6,18,35,17,3.5,4.5,22.0,29.0,-1.0,18 - 35mm,f/3.5 - 4.5,18 - 35mm f/3.5 - 4.5,Zoom,Standard,0.85,$500 - $1k
No,2,9,3,,FX,17,13,4,0.18x,0.9 ft. (0.25 m) from focal plane,3399.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/pc-nikkor-19mm-f%252f4e-ed.html,,3.5,4.8,31.2,19,19,0,4.0,4.0,32.0,32.0,0.0,19mm,f/4.0,19mm f/4.0,Prime,Ultra Wide Angle,1.95,$2 - 5k
Yes,2,7,2,77,FX,13,11,1.8,0.23x,"0.66,0.2",719.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-20mm-f%252f1.8g-ed.html,,3.2,3.1,12.6,20,20,0,1.8,1.8,16.0,16.0,0.0,20mm,f/1.8,20mm f/1.8,Prime,Ultra Wide Angle,0.7875,$500 - $1k
Yes,,7,,62,FX,12,9,2.8,0.12x,"0.85,0.25",624.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-20mm-f%252f2.8d.html,,2.7,1.7,9.5,20,20,0,2.8,2.8,22.0,22.0,0.0,20mm,f/2.8,20mm f/2.8,Prime,Ultra Wide Angle,0.59375,$500 - $1k
No,,,,62,FX,12,9,2.8,,0.85,674.75,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/nikkor-20mm-f%252f2.8.html,,2.6,1.7,9.5,20,20,0,2.8,2.8,22.0,22.0,0.0,20mm,f/2.8,20mm f/2.8,Prime,Ultra Wide Angle,0.59375,$500 - $1k
Yes,,9,2,77,FX,17,13,4,0.24x,"1.5,0.45",1099.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-24-120mm-f%252f4g-ed-vr.html,5.0,3.3,4.1,25.0,24,120,96,4.0,4.0,22.0,22.0,0.0,24 - 120mm,f/4.0,24 - 120mm f/4.0,Zoom,Short Telephoto,1.5625,$1 - 2k
Yes,2,9,,72,FX,15,11,2.8-4,0.17x,"0.7,0.2",744.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-zoom-nikkor-24-85mm-f%252f2.8-4d-if.html,3.5,3.1,3.2,19.2,24,85,61,2.8,4.0,22.0,22.0,-1.2000000000000002,24 - 85mm,f/2.8 - 4.0,24 - 85mm f/2.8 - 4.0,Zoom,Short Telephoto,1.2,$500 - $1k
Yes,3,7,1,72,FX,16,11,3.5-4.5,0.22x,"1.25,0.38",499.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-24-85mm-f%252f3.5-4.5g-ed-vr.html,3.5,3.1,3.2,16.4,24,85,61,3.5,4.5,22.0,29.0,-1.0,24 - 85mm,f/3.5 - 4.5,24 - 85mm f/3.5 - 4.5,Zoom,Short Telephoto,1.025,< $500
Yes,3,9,3,77,FX,15,11,2.8,0.27x,"1.2,0.38",1449.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-24-70mm-f2.8g-ed.html,2.9,3.3,5.2,31.7,24,70,46,2.8,2.8,22.0,22.0,0.0,24 - 70mm,f/2.8,24 - 70mm f/2.8,Zoom,Standard,1.98125,$1 - 2k
Yes,3,9,2,82,FX,20,16,2.8,0.27x,"35-50 mm focal length: 1.2 ft. (0.38 m) from focal plane,24, 28, 70 mm focal lengths: 1.3 ft. (0.41 m) from focal plane",1899.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-24-70mm-f%252f2.8e-ed-vr.html,2.9,3.4,6.0,38.4,24,70,46,2.8,2.8,22.0,22.0,0.0,24 - 70mm,f/2.8,24 - 70mm f/2.8,Zoom,Standard,2.4,$1 - 2k
Yes,2,9,2,77,FX,12,10,1.4,0.179x,"0.82,0.25",1799.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-24mm-f%252f1.4g-ed.html,,3.3,3.5,21.9,24,24,0,1.4,1.4,16.0,16.0,0.0,24mm,f/1.4,24mm f/1.4,Prime,Wide Angle,1.36875,$1 - 2k
Yes,2,7,2,72,FX,12,9,1.8,0.2x,"0.75,0.23",679.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-24mm-f%252f1.8g-ed.html,,3.1,3.3,12.6,24,24,0,1.8,1.8,16.0,16.0,0.0,24mm,f/1.8,24mm f/1.8,Prime,Wide Angle,0.7875,$500 - $1k
Yes,,7,,52,FX,9,9,2.8,0.11x,1.0,394.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-24mm-f%252f2.8d.html,,2.5,1.8,9.5,24,24,0,2.8,2.8,22.0,22.0,0.0,24mm,f/2.8,24mm f/2.8,Prime,Wide Angle,0.59375,< $500
No,,,,52,FX,9,9,2.8,,1.0,539.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/nikkor-24mm-f%252f2.8.html,,2.5,1.8,9.7,24,24,0,2.8,2.8,22.0,22.0,0.0,24mm,f/2.8,24mm f/2.8,Prime,Wide Angle,0.60625,$500 - $1k
No,3,9,3,77,FX,13,10,3.5,0.37x,"0.7,0.21",2199.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/pc-e-nikkor-24mm-f3.5d-ed.html,,3.2,4.3,25.7,24,24,0,3.5,3.5,32.0,32.0,0.0,24mm,f/3.5,24mm f/3.5,Prime,Wide Angle,1.60625,$2 - 5k
Yes,3,9,2,77,FX,19,14,3.5-5.6,0.32x,1.6 ft. (0.5m) throughout entire zoom range,849.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-28-300mm-f%252f3.5-5.6g-ed-vr.html,10.7,3.26,4.5,28.2,28,300,272,3.5,5.6,22.0,22.0,-2.0999999999999996,28 - 300mm,f/3.5 - 5.6,28 - 300mm f/3.5 - 5.6,Zoom,Super Telephoto,1.7625,$500 - $1k
Yes,3,9,2,77,FX,14,11,1.4,0.17x,0.92 ft. (0.28m) from focal plane,1799.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-28mm-f%252f1.4e-ed.html,,3.2,3.9,22.8,28,28,0,1.4,1.4,16.0,16.0,0.0,28mm,f/1.4,28mm f/1.4,Prime,Wide Angle,1.425,$1 - 2k
Yes,2,7,,67,FX,11,9,1.8,0.22x,"0.85,0.25",629.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-28mm-f%252f1.8g.html,,2.9,3.2,11.6,28,28,0,1.8,1.8,16.0,16.0,0.0,28mm,f/1.8,28mm f/1.8,Prime,Wide Angle,0.725,$500 - $1k
Yes,,7,,52,FX,6,6,2.8,0.18x,0.85,289.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-28mm-f%252f2.8d.html,,2.6,1.8,7.2,28,28,0,2.8,2.8,22.0,22.0,0.0,28mm,f/2.8,28mm f/2.8,Prime,Wide Angle,0.45,< $500
No,,,,52,FX,8,8,2.8,,"0.7,0.21",539.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/nikkor-28mm-f%252f2.8.html,,2.5,1.8,8.8,28,28,0,2.8,2.8,22.0,22.0,0.0,28mm,f/2.8,28mm f/2.8,Prime,Wide Angle,0.55,$500 - $1k
No,,,,52,FX,9,7,1.4,,1.0,1164.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/nikkor-35mm-f%252f1.4.html,,2.7,2.4,14.1,35,35,0,1.4,1.4,16.0,16.0,0.0,35mm,f/1.4,35mm f/1.4,Prime,Standard,0.88125,$1 - 2k
Yes,1,9,,67,FX,10,7,1.4,0.2x,0.98 ft.,1549.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-35mm-f%252f1.4g.html,,3.27,3.52,21.2,35,35,0,1.4,1.4,16.0,16.0,0.0,35mm,f/1.4,35mm f/1.4,Prime,Standard,1.325,$1 - 2k
Yes,1,7,,52,DX,8,6,1.8,0.16x,0.98,199.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-35mm-f%252f1.8g.html,,2.8,2.1,7.0,35,35,0,1.8,1.8,22.0,22.0,0.0,35mm,f/1.8,35mm f/1.8,Prime,Standard,0.4375,< $500
Yes,1,7,1,58,FX,11,8,1.8,0.16x,"0.82,0.25",479.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-35mm-f%252f1.8g-ed.html,,2.83,2.81,10.7,35,35,0,1.8,1.8,16.0,16.0,0.0,35mm,f/1.8,35mm f/1.8,Prime,Standard,0.66875,< $500
Yes,,7,,52,FX,6,5,2,0.24x,"0.85,0.25",389.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-35mm-f%252f2d.html,,2.5,1.7,7.2,35,35,0,2.0,2.0,22.0,22.0,0.0,35mm,f/2.0,35mm f/2.0,Prime,Standard,0.45,< $500
Yes,,7,,52,DX,9,7,2.8,1.0x,"0.53,0.163",279.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-micro-nikkor-40mm-f%252f2.8g.html,,2.7,2.5,8.3,40,40,0,2.8,2.8,22.0,22.0,0.0,40mm,f/2.8,40mm f/2.8,Prime,Standard,0.51875,< $500
No,,9,1,77,FX,9,8,2.8,0.50x,"0.83,0.25",2049.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/pc-e-micro-nikkor-45mm-f%252f2.8d-ed.html,,3.2,4.4,26.1,45,45,0,2.8,2.8,32.0,32.0,0.0,45mm,f/2.8,45mm f/2.8,Prime,Standard,1.63125,$2 - 5k
No,,,,52,FX,7,6,1.2,,1.7,724.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/nikkor-50mm-f%252f1.2.html,,2.7,1.9,12.7,50,50,0,1.2,1.2,16.0,16.0,0.0,50mm,f/1.2,50mm f/1.2,Prime,Standard,0.79375,$500 - $1k
Yes,,7,,52,FX,7,6,1.4,0.15x,"1.5,0.45",369.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-50mm-f%252f1.4d.html,,2.5,1.7,8.1,50,50,0,1.4,1.4,16.0,16.0,0.0,50mm,f/1.4,50mm f/1.4,Prime,Standard,0.50625,< $500
Yes,,9,,58,FX,8,7,1.4,0.15x,"1.5,0.45",409.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-50mm-f1.4g.html,,2.9,2.1,9.9,50,50,0,1.4,1.4,16.0,16.0,0.0,50mm,f/1.4,50mm f/1.4,Prime,Standard,0.61875,< $500
