index,Autofocus,Format,Lens Elements,Lens Groups,Price,VR,Url,Diameter (In.),Length (In.),Weight (oz.),Min. Focal Length (mm),Max. Focal Length (mm),Max. Aperture (Upper Bound),Max. Aperture (Lower Bound),Min. Aperture (Upper Bound),Min. Aperture (Lower Bound),name,Lens Type,Focal Length Group,Max. Aperture,Focal Length
17,Yes,DX,15,11,$399.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-18-105mm-f3.5-5.6g-ed-vr.html,3.0,3.5,14.8,18.0,105.0,3.5,5.6,22.0,22.0,18-105mm f3.5-5.6,Zoom,Short Telephoto,5.6,105.0
18,Yes,DX,7,5,$119.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-zoom-nikkor-18-55mm-f%252f3.5-5.6g-ed-ii.html,2.8,2.9,7.4,18.0,55.0,3.5,5.6,22.0,22.0,18-55mm f3.5-5.6,Zoom,Standard,3.5,18.0
18,Yes,DX,7,5,$119.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-zoom-nikkor-18-55mm-f%252f3.5-5.6g-ed-ii.html,2.8,2.9,7.4,18.0,55.0,3.5,5.6,22.0,22.0,18-55mm f3.5-5.6,Zoom,Standard,5.6,55.0
19,Yes,DX,12,9,$199.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-p-dx-nikkor-18-55mm-f%252f3.5-5.6g.html,2.5,2.4,6.9,18.0,55.0,3.5,5.6,22.0,38.0,18-55mm f3.5-5.6,Zoom,Standard,3.5,18.0
19,Yes,DX,12,9,$199.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-p-dx-nikkor-18-55mm-f%252f3.5-5.6g.html,2.5,2.4,6.9,18.0,55.0,3.5,5.6,22.0,38.0,18-55mm f3.5-5.6,Zoom,Standard,5.6,55.0
20,Yes,DX,11,8,$199.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-zoom-nikkor-ed-18-55mm-f3.5-5.6g.html,2.9,3.1,9.3,18.0,55.0,3.5,5.6,22.0,22.0,18-55mm f3.5-5.6,Zoom,Standard,3.5,18.0
20,Yes,DX,11,8,$199.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-zoom-nikkor-ed-18-55mm-f3.5-5.6g.html,2.9,3.1,9.3,18.0,55.0,3.5,5.6,22.0,22.0,18-55mm f3.5-5.6,Zoom,Standard,5.6,55.0
21,Yes,DX,12,9,$249.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-p-dx-nikkor-18-55mm-f%252f3.5-5.6g-vr.html,2.5,2.4,7.3,18.0,55.0,3.5,5.6,22.0,38.0,18-55mm f3.5-5.6,Zoom,Standard,3.5,18.0
21,Yes,DX,12,9,$249.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-p-dx-nikkor-18-55mm-f%252f3.5-5.6g-vr.html,2.5,2.4,7.3,18.0,55.0,3.5,5.6,22.0,38.0,18-55mm f3.5-5.6,Zoom,Standard,5.6,55.0
22,Yes,DX,11,8,$249.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-18-55mm-f%252f3.5-5.6g-vr-ii.html,2.3,2.6,6.9,18.0,55.0,3.5,5.6,22.0,36.0,18-55mm f3.5-5.6,Zoom,Standard,3.5,18.0
22,Yes,DX,11,8,$249.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-18-55mm-f%252f3.5-5.6g-vr-ii.html,2.3,2.6,6.9,18.0,55.0,3.5,5.6,22.0,36.0,18-55mm f3.5-5.6,Zoom,Standard,5.6,55.0
23,Yes,FX,12,8,$749.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-18-35mm-f%252f3.5-4.5g-ed.html,3.3,3.7,13.6,18.0,35.0,3.5,4.5,22.0,29.0,18-35mm f3.5-4.5,Zoom,Standard,3.5,18.0
