index,Autofocus,Format,Lens Elements,Lens Groups,Price,VR,Url,Diameter (In.),Length (In.),Weight (oz.),Min. Focal Length (mm),Max. Focal Length (mm),Max. Aperture (Upper Bound),Max. Aperture (Lower Bound),Min. Aperture (Upper Bound),Min. Aperture (Lower Bound),name,Lens Type,Focal Length Group,Max. Aperture,Focal Length
86,Yes,FX,27,19,"$12,399.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-180-400mm-f%252f4e-tc1.4-fl-ed-vr.html,5.0,14.2,123.4,180.0,400.0,4.0,4.0,32.0,32.0,180-400mm f4,Zoom,Super Telephoto,4.0,180.0
86,Yes,FX,27,19,"$12,399.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-180-400mm-f%252f4e-tc1.4-fl-ed-vr.html,5.0,14.2,123.4,180.0,400.0,4.0,4.0,32.0,32.0,180-400mm f4,Zoom,Super Telephoto,4.0,400.0
87,Yes,FX,8,6,"$1,004.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-180mm-f%252f2.8d-if-ed.html,3.1,5.7,26.8,180.0,180.0,2.8,2.8,22.0,22.0,180mm f2.8,Prime,Medium Telephoto,2.8,180.0
87,Yes,FX,8,6,"$1,004.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-180mm-f%252f2.8d-if-ed.html,3.1,5.7,26.8,180.0,180.0,2.8,2.8,22.0,22.0,180mm f2.8,Prime,Medium Telephoto,2.8,180.0
88,Yes,FX,19,12,"$1,399.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-200-500mm-f%252f5.6e-ed-vr.html,4.2,10.5,81.2,200.0,500.0,5.6,5.6,32.0,32.0,200-500mm f5.6,Zoom,Super Telephoto,5.6,200.0
88,Yes,FX,19,12,"$1,399.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-200-500mm-f%252f5.6e-ed-vr.html,4.2,10.5,81.2,200.0,500.0,5.6,5.6,32.0,32.0,200-500mm f5.6,Zoom,Super Telephoto,5.6,500.0
89,Yes,FX,24,17,"$6,999.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-200-400mm-f%252f4g-ed-vr-ii.html,4.9,14.4,118.5,200.0,400.0,4.0,4.0,32.0,32.0,200-400mm f4,Zoom,Super Telephoto,4.0,200.0
89,Yes,FX,24,17,"$6,999.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-200-400mm-f%252f4g-ed-vr-ii.html,4.9,14.4,118.5,200.0,400.0,4.0,4.0,32.0,32.0,200-400mm f4,Zoom,Super Telephoto,4.0,400.0
90,Yes,FX,13,9,"$5,699.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-200mm-f%252f2g-ed-vr-ii.html,4.9,8.0,102.4,200.0,200.0,2.0,2.0,22.0,22.0,200mm f2,Prime,Medium Telephoto,2.0,200.0
90,Yes,FX,13,9,"$5,699.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-200mm-f%252f2g-ed-vr-ii.html,4.9,8.0,102.4,200.0,200.0,2.0,2.0,22.0,22.0,200mm f2,Prime,Medium Telephoto,2.0,200.0
91,Yes,FX,13,8,"$1,794.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-micro-nikkor-200mm-f%252f4d-if-ed.html,3.0,7.6,41.8,200.0,200.0,4.0,4.0,32.0,32.0,200mm f4,Prime,Medium Telephoto,4.0,200.0
91,Yes,FX,13,8,"$1,794.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-micro-nikkor-200mm-f%252f4d-if-ed.html,3.0,7.6,41.8,200.0,200.0,4.0,4.0,32.0,32.0,200mm f4,Prime,Medium Telephoto,4.0,200.0
92,Yes,FX,11,8,"$5,499.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-300mm-f2.8g-ed-vr-ii.html,4.9,10.5,102.3,300.0,300.0,2.8,2.8,22.0,22.0,300mm f2.8,Prime,Super Telephoto,2.8,300.0
92,Yes,FX,11,8,"$5,499.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-300mm-f2.8g-ed-vr-ii.html,4.9,10.5,102.3,300.0,300.0,2.8,2.8,22.0,22.0,300mm f2.8,Prime,Super Telephoto,2.8,300.0
